Pocz_lp,Y,X1_Z2,X4_Z1,Ranga(X5),X6_Z2,X6_Z3,X6_Z5,X9,X10_Z2,X10_Z3,Ranga(X11),X12_Z1,Ranga(X12),X14_Z2,Ranga(X14),X15_Z1,X15_Z3,X18,X24
375,1,1,0,189.5,0,0,1,9902.53,1,0,329.5,0,994.5,0,284.5,0,0,0,5
380,1,0,0,189.5,0,0,1,23092.91,1,0,2084.5,0,994.5,0,2086.5,0,1,1,1
382,1,0,0,1619.5,1,0,0,17661.62,0,0,329.5,0,1926.5,1,1170.5,0,0,1,1
390,1,0,0,1619.5,0,0,0,7088.8,1,0,966.5,0,1926.5,1,1170.5,0,1,0,1
395,1,0,0,883.5,1,0,0,14628.58,1,0,1521.5,1,268.5,0,284.5,0,1,1,1
401,0,0,0,2119.5,0,1,0,50046.16,0,0,966.5,0,994.5,0,2086.5,0,0,1,1
402,0,0,0,883.5,0,0,0,34055.48,0,0,329.5,0,1926.5,0,2086.5,0,0,1,1
403,0,1,0,1619.5,0,1,0,34948.76,0,0,2084.5,0,994.5,0,2086.5,1,0,0,1
405,0,0,0,2119.5,1,0,0,50961.96,0,0,329.5,0,1926.5,1,1170.5,1,0,1,1
407,0,1,0,2119.5,0,0,0,42438.16,0,0,2084.5,0,994.5,0,2086.5,0,1,0,1
409,0,0,0,189.5,0,0,1,49232.72,1,0,329.5,0,994.5,0,2086.5,0,0,0,1
410,0,0,0,2119.5,0,1,0,43110.92,0,0,329.5,0,994.5,1,1170.5,0,0,1,1
411,0,0,0,883.5,0,1,0,37516.08,1,0,966.5,0,1926.5,0,2086.5,1,0,0,1
412,0,0,0,1619.5,1,0,0,40647.6,1,0,329.5,1,268.5,0,2086.5,1,0,0,1
413,0,0,0,2119.5,0,0,0,38118.44,0,0,966.5,0,994.5,0,2086.5,1,0,0,1
414,0,0,0,883.5,0,0,0,37425.12,0,0,966.5,0,1926.5,0,2086.5,0,0,1,1
415,0,0,0,2119.5,1,0,0,45843.24,0,0,1521.5,1,268.5,0,2086.5,1,0,0,1
416,0,0,1,883.5,0,0,0,38225.6,0,0,1521.5,0,1926.5,0,284.5,1,0,1,1
417,0,1,0,1619.5,0,0,0,33065.84,0,0,1521.5,0,1926.5,0,2086.5,0,0,1,1
419,0,0,1,1619.5,0,0,1,51502.24,0,0,329.5,0,994.5,0,2086.5,0,0,1,1
420,0,0,1,883.5,1,0,0,37427.84,0,0,2084.5,0,1926.5,1,1170.5,1,0,1,1
421,0,1,0,1619.5,0,0,0,39474.4,1,0,329.5,0,1926.5,0,284.5,1,0,1,1
422,0,0,0,2119.5,0,0,0,41727.72,0,0,966.5,1,268.5,1,1170.5,1,0,1,1
423,0,0,0,189.5,0,0,1,52839.92,0,0,329.5,0,994.5,0,2086.5,1,0,1,1
424,0,0,0,883.5,0,0,0,43864.4,0,0,329.5,0,1926.5,0,284.5,0,0,0,1
425,0,0,1,1619.5,0,0,0,39463.84,0,0,329.5,1,268.5,0,2086.5,0,0,0,1
426,0,0,0,2119.5,1,0,0,54664.44,0,0,966.5,0,1926.5,0,2086.5,0,0,0,1
427,0,0,0,2119.5,0,0,0,43501.08,0,0,1521.5,0,994.5,0,2086.5,0,0,1,1
428,0,0,1,883.5,0,1,0,55373.4,0,0,966.5,0,1926.5,0,2086.5,1,0,1,1
429,0,0,0,2119.5,0,1,0,49956.68,1,0,2084.5,0,1926.5,0,2086.5,1,0,1,1
430,0,0,0,883.5,0,0,0,46401.2,0,0,966.5,0,1926.5,0,284.5,0,0,1,1
432,0,0,0,883.5,0,0,0,33708.4,0,0,329.5,0,994.5,0,284.5,0,0,0,1
433,0,1,0,883.5,0,0,1,34990.8,0,0,329.5,0,1926.5,0,2086.5,1,0,1,1
435,0,0,1,2119.5,1,0,0,36253.2,1,0,966.5,0,1926.5,1,1170.5,1,0,0,1
436,0,0,0,883.5,1,0,0,42214.68,0,0,966.5,0,1926.5,0,2086.5,1,0,1,1
437,0,0,1,883.5,0,1,0,53822.24,0,0,1521.5,0,1926.5,0,2086.5,0,0,0,1
438,0,0,0,2119.5,0,0,1,34778.96,0,0,2084.5,0,1926.5,1,1170.5,1,0,1,1
439,0,1,0,1619.5,0,0,0,33735.52,0,1,329.5,0,1926.5,1,1170.5,0,0,0,1
440,0,0,0,2119.5,0,0,0,35646.16,0,0,2084.5,0,994.5,1,1170.5,1,0,0,1
441,0,0,1,189.5,0,0,1,37117.08,0,0,329.5,0,1926.5,1,1170.5,0,0,0,1
442,0,1,1,2119.5,1,0,0,37321.76,1,0,329.5,0,994.5,0,284.5,0,0,0,1
443,0,0,1,2119.5,0,1,0,40660.52,0,0,2084.5,0,1926.5,0,284.5,1,0,1,2
444,0,1,1,2119.5,0,0,0,36798.96,0,1,966.5,0,994.5,0,2086.5,1,0,0,3
446,0,1,1,189.5,0,0,1,40180.32,0,0,1521.5,0,994.5,1,1170.5,1,0,1,1
448,0,0,0,1619.5,1,0,0,42875.44,0,0,329.5,1,268.5,0,2086.5,0,0,1,1
449,0,0,0,2119.5,0,0,0,41147.04,0,1,966.5,0,1926.5,1,1170.5,1,0,1,1
450,0,0,0,189.5,0,0,1,45788.08,1,0,966.5,0,994.5,0,2086.5,1,0,1,1
451,0,1,0,2119.5,0,0,0,35325.88,0,0,329.5,0,1926.5,0,284.5,1,0,0,1
453,0,0,0,189.5,0,0,1,41373.64,0,0,329.5,0,1926.5,0,284.5,0,0,0,1
454,0,0,0,1619.5,0,0,0,42290.64,0,0,2084.5,0,1926.5,1,1170.5,0,0,1,1
455,0,0,0,1619.5,0,1,0,39402.92,0,0,329.5,0,1926.5,0,2086.5,0,0,0,1
456,0,0,0,1619.5,0,0,0,41463.12,0,0,1521.5,1,268.5,0,284.5,1,0,0,1
459,0,0,0,2119.5,0,0,0,39720.96,0,1,1521.5,0,1926.5,0,284.5,0,0,1,3
461,0,0,0,2119.5,0,1,0,48063.04,1,0,329.5,0,994.5,0,284.5,1,0,0,1
464,0,0,1,189.5,0,0,1,44881.8,0,1,329.5,0,994.5,0,2086.5,0,0,0,1
465,0,1,1,2119.5,0,0,0,44151.16,0,0,1521.5,0,1926.5,0,284.5,0,0,0,1
466,0,0,0,883.5,0,1,0,37071.56,0,0,329.5,0,994.5,0,2086.5,0,0,0,1
467,0,0,0,2119.5,0,0,1,40072.64,0,0,329.5,0,1926.5,1,1170.5,0,0,0,2
468,0,0,0,883.5,0,0,0,43490.48,0,0,329.5,0,1926.5,0,284.5,0,0,1,1
469,0,0,0,189.5,0,0,1,33133.36,0,0,329.5,0,994.5,0,284.5,1,0,1,1
470,0,0,0,1619.5,0,0,0,51927.68,0,0,1521.5,0,994.5,0,284.5,0,0,0,1
473,0,0,0,1619.5,1,0,0,30797.72,0,0,329.5,0,1926.5,0,284.5,1,0,1,1
476,0,1,0,1619.5,0,0,0,29488.08,0,0,329.5,0,1926.5,1,1170.5,0,0,0,1
477,0,0,1,189.5,0,0,1,38414.96,0,0,329.5,0,1926.5,0,284.5,0,0,1,1
478,0,1,0,2119.5,0,0,0,27327.32,0,0,2084.5,0,1926.5,0,284.5,0,0,0,1
479,0,0,0,883.5,1,0,0,34971.44,0,0,1521.5,0,1926.5,0,2086.5,1,0,0,3
480,0,0,0,883.5,0,0,0,53335.88,0,0,966.5,0,1926.5,0,2086.5,0,1,1,1
482,0,0,0,2119.5,0,0,0,44818.16,1,0,966.5,0,994.5,0,284.5,1,0,1,1
483,0,1,0,883.5,0,0,0,41766,0,0,2084.5,0,1926.5,0,2086.5,0,0,0,1
484,0,0,0,883.5,1,0,0,41593.32,0,0,1521.5,0,1926.5,0,2086.5,0,0,0,1
485,0,1,0,2119.5,0,0,0,41161.52,0,0,329.5,0,1926.5,0,284.5,1,0,0,3
486,0,0,0,2119.5,0,0,1,43874.28,1,0,329.5,0,1926.5,1,1170.5,1,0,1,1
489,0,0,0,1619.5,0,0,0,31919.48,0,0,329.5,0,1926.5,0,2086.5,1,0,1,1
490,0,0,0,2119.5,1,0,0,54231.76,0,1,966.5,0,1926.5,0,284.5,1,0,0,1
491,0,0,1,189.5,0,0,1,37515.4,0,0,1521.5,0,994.5,0,2086.5,1,0,1,1
492,0,0,0,883.5,0,1,0,44502.36,0,1,1521.5,1,268.5,0,284.5,0,0,0,1
493,0,0,1,2119.5,0,0,0,39841.92,0,0,2084.5,0,994.5,0,284.5,1,0,0,1
495,0,0,0,189.5,0,0,1,31290.36,0,0,329.5,0,1926.5,0,2086.5,1,0,1,1
497,0,0,0,1619.5,0,0,0,49761.76,0,1,966.5,1,268.5,0,2086.5,1,0,1,1
500,0,0,0,1619.5,0,0,0,42493.36,0,0,1521.5,1,268.5,1,1170.5,0,0,1,2
501,0,1,0,1619.5,0,0,0,42722.56,0,1,329.5,0,1926.5,1,1170.5,1,0,1,1
502,0,0,0,189.5,0,0,1,37810.08,0,0,1521.5,0,1926.5,0,2086.5,0,0,1,1
503,0,0,0,1619.5,0,0,0,31070.68,0,0,329.5,0,1926.5,0,284.5,1,0,0,1
504,0,1,1,883.5,0,1,0,40443.28,0,0,2084.5,0,994.5,1,1170.5,1,0,0,1
505,0,0,0,1619.5,0,0,0,42589.6,0,0,329.5,0,1926.5,0,284.5,1,0,0,1
506,0,1,0,883.5,1,0,0,36671.8,0,0,966.5,0,1926.5,0,284.5,0,0,1,1
507,0,0,0,883.5,0,1,0,36787.36,1,0,966.5,0,1926.5,0,2086.5,0,0,1,1
509,0,1,1,189.5,0,0,1,33672.88,0,0,329.5,0,1926.5,0,284.5,0,0,1,1
510,0,1,0,2119.5,0,0,0,42981.08,0,0,2084.5,0,1926.5,0,284.5,0,0,0,1
511,0,0,0,1619.5,0,0,0,41948.08,1,0,329.5,0,1926.5,1,1170.5,1,0,1,1
512,0,0,1,883.5,1,0,0,41841.92,0,0,2084.5,0,1926.5,0,2086.5,1,0,0,1
513,0,0,0,883.5,0,1,0,42902.04,0,1,329.5,0,1926.5,0,284.5,0,0,1,1
